MESH_ID,グリッド毎人口,グリッド毎鶏舎数,x,y
483022,212.3888726,0.04828483,130.3102069,32.21175034
493240,227.2191231,0.027661911,132.0600262,33.04502884
493220,238.4499426,0.050156431,132.0600389,32.87838759
493250,254.6706762,0,132.0600302,33.12835471
463062,316.392284,0.063886621,130.3102425,31.21186019
493003,317.5527177,0.22097138,130.4351802,32.71169912
473113,343.2318116,0.102835429,131.4351302,31.46185327
463046,419.3741277,0.665754507,130.8101964,31.04522063
493176,420.9673048,0.015826103,131.8100416,33.2949957
503030,495.3281888,0.093981721,130.0601877,33.62825767
473011,538.5696289,0.131779856,130.185238,31.46183317
503132,581.2662856,0.088505958,131.3100833,33.62828369
483151,618.0756592,0.202117613,131.1851382,32.46174663
493013,639.0730463,0.44483981,130.435181,32.79502429
463055,659.4619047,1.046892754,130.6852054,31.1285425
483121,734.5253583,0.119777793,131.1851465,32.21177345
463054,769.9197368,0.195113973,130.5602072,31.1285433
463063,800.1377125,0.803839605,130.4352308,31.21186283
483141,814.940229,0.940475736,131.1851409,32.37842251
483161,942.0213269,0.462731355,131.1851363,32.54507176
493230,1057.270233,0.222390079,132.0600349,32.9617067
483140,1069.688769,0.424608642,131.0601513,32.37842
483162,1096.137172,0.643836104,131.3101249,32.5450741
483152,1286.266968,3.005532236,131.3101275,32.46174984
503144,1294.310156,0.417975197,131.5600608,33.71161971
473041,1332.019784,0.178578869,130.1852311,31.71180535
503105,1376.935374,0.400194354,131.6850512,33.37831677
463160,1427.592725,0.086526015,131.0601702,31.21187364
482965,1481.906799,0.027155076,129.6852528,32.5450379
483047,1593.711321,0.562043216,130.9351638,32.37841729
473123,1711.31078,0.513698431,131.4351356,31.54517855
493157,1714.286102,0.042877023,131.9350508,33.12836515
463045,1745.520793,2.771006266,130.6852063,31.04522223
483150,1953.371117,0.272885253,131.0601479,32.4617455
483046,1964.741961,0.830474285,130.810173,32.37841366
483172,2253.241904,2.249347725,131.310121,32.62839937
463075,2296.933577,0.582091631,130.6851991,31.29519405
483176,2320.378111,0.340559917,131.810061,32.62840255
483145,2331.559258,2.502818279,131.6850866,32.37843011
503145,2413.886659,0.047581405,131.6850487,33.71161596
483153,2515.76442,4.570156484,131.4351162,32.46175283
483104,2570.391422,2.430102329,131.5601016,32.04512656
483171,2580.457777,1.817307137,131.185133,32.62839692
463057,2732.824418,2.269759367,130.9351999,31.12854946
503133,2796.84596,1.543578751,131.4350744,33.62829281
473102,2822.424811,0.844194859,131.3101504,31.378528
473015,2858.562136,1.568914455,130.6851942,31.46184179
483142,2871.232935,5.139075976,131.3101305,32.37842587
503041,2919.569911,0.028996205,130.1851749,33.71157796
483131,3006.813751,1.39892321,131.185144,32.2950981
483033,3090.485195,0.641353985,130.4351976,32.29507831
483130,3159.289519,3.686274264,131.0601552,32.29509463
493101,3214.843085,2.876372253,131.1851284,32.71172217
483170,3275.952838,2.753507472,131.0601433,32.62839504
493100,3297.927582,2.784907784,131.0601394,32.71171994
483035,3319.776667,0.935841294,130.6851851,32.2950856
483043,3456.461439,0.698846502,130.4351988,32.37840276
483160,3478.60448,0.707762681,131.0601463,32.5450702
483163,3569.56651,2.869416256,131.4351136,32.54507748
502926,3745.747552,0.494027109,129.8102106,33.54493564
493111,3911.119622,3.82041197,131.1851259,32.79504742
493113,4042.944985,3.178213082,131.4351041,32.79505592
473100,4075.667173,2.191210659,131.0601731,31.37852328
503020,4168.16093,0.790851293,130.0601955,33.54494104
483056,4172.337815,0.142203513,130.8101703,32.46173951
493177,4188.535792,0.157466383,131.935037,33.29500027
493161,4205.133204,1.518509044,131.1851157,33.21167768
463056,4245.612984,7.511082249,130.8102194,31.12854379
463066,4252.196683,9.041407847,130.8102005,31.21186995
493117,4279.312053,0.900126112,131.9350596,32.7950668
463071,4295.542111,1.04559371,130.1852514,31.29518168
493151,4534.901987,2.668290378,131.1851181,33.12835035
493141,4612.190655,8.725285977,131.1851211,33.04502286
463170,4718.71362,0.285999977,131.0601851,31.29519568
473061,4824.752093,1.275519888,130.1852316,31.87845186
483120,4943.5168,2.945616932,131.0601572,32.21176976
483036,4947.130517,2.541057967,130.8101756,32.29508866
483072,5003.579822,2.273374477,130.3101939,32.62837239
463065,5006.550217,1.268765894,130.6852025,31.21186658
493103,5051.139037,1.560384488,131.4351074,32.71173004
503150,5103.441964,0.003990827,131.0601015,33.79492685
493122,5160.483446,6.014765511,131.3101138,32.87837642
493102,5297.585192,8.763326862,131.3101173,32.71172548
493132,5361.74647,6.735254674,131.3101108,32.96170178
473111,5424.883385,2.324357841,131.1851663,31.46184786
493137,5533.683361,1.16397515,131.935049,32.96171352
482966,5547.256574,0.101650234,129.8102394,32.54503951
493171,5674.486026,0.70024872,131.1851129,33.29500367
493121,5738.812625,3.656241673,131.1851248,32.87837249
503135,5793.557015,1.52396857,131.6850522,33.62829829
473071,5807.421193,1.32312132,130.1852289,31.96177616
493023,5911.764146,0.204515958,130.435179,32.87834975
493112,5916.32364,9.396868948,131.3101155,32.79505124
